query,impressions,clicks,ctr,position
on-running cross training mens,14754,154,0.010455,13.11
brooks basketball shoes 2024,14741,2432,0.165038,1.16
mizuno yoga sale,14656,44,0.003052,20.88
vans basketball shoes sale,14523,482,0.033203,8.53
mizuno trail shoes 2024,14349,1986,0.138423,2.87
new-balance cross training buy,14219,142,0.010001,14.52
running shoes for women,13549,202,0.014959,10.54
under-armour tennis shoes womens,13492,115,0.008547,17.11
waterproof running shoes,13419,271,0.020207,11.54
reebok hiking boots sale,13051,96,0.007367,16.65
asics basketball shoes womens,12662,88,0.006994,17.39
brooks football boots sale,12430,699,0.056309,5.55
on-running casual shoes review,12101,103,0.008538,14.04
brooks yoga buy,11924,136,0.011467,14.68
running shoes overpronation,11686,91,0.007842,19.57
nike cycling shoes 2024,11655,180,0.015486,10.45
saucony yoga buy,11380,578,0.050857,4.15
carbon plate running shoes,11307,90,0.008044,17.76
mizuno football boots womens,11138,1290,0.115882,2.92
trail running shoes,10803,49,0.004602,17.78
puma cycling shoes sale,10566,119,0.011271,13.11
brooks cricket shoes review,10376,752,0.072529,3.49
hoka hiking boots buy,10171,191,0.018844,8.7
saucony football boots review,9774,185,0.018953,8.93
asics cycling shoes sale,9463,77,0.00817,15.95
lightweight running shoes,9248,187,0.02026,10.56
brooks swimming 2024,9054,133,0.014756,14.17
under-armour cricket shoes womens,9038,582,0.064428,4.13
salomon trail shoes review,8704,23,0.002715,21.04
altra walking shoes sale,8192,48,0.005898,20.88
new-balance trail shoes mens,7958,67,0.008473,13.79
asics gym shoes sale,7439,34,0.004578,16.38
salomon basketball shoes womens,7238,57,0.008007,13.87
saucony football boots womens,7022,84,0.012002,11.25
nike tennis shoes review,6671,48,0.007255,12.65
altra swimming womens,6449,48,0.007571,17.87
nike tennis shoes sale,6357,45,0.007127,18.65
mizuno hiking boots womens,6111,981,0.160548,1.2
running shoes discount,6109,745,0.121984,2.65
new-balance hiking boots mens,6069,235,0.038837,6.45
saucony football boots mens,6064,348,0.057462,4.72
new-balance swimming sale,5953,49,0.008379,16.77
mizuno running shoes mens,5775,85,0.014782,10.58
on-running casual shoes buy,5609,360,0.064276,4.17
nike swimming buy,5440,37,0.006808,16.74
hoka cross training sale,4875,11,0.002316,21.37
mizuno cycling shoes 2024,4686,57,0.012189,10.91
hoka clifton 9,4399,57,0.013157,11.45
asics tennis shoes mens,4263,159,0.037516,7.62
saucony trail shoes womens,4135,18,0.004359,15.85
asics hiking boots buy,3774,68,0.018279,11.14
mizuno badminton shoes review,3774,291,0.077291,3.7
nike air max,3611,17,0.004964,15.74
asics walking shoes mens,3326,11,0.003594,21.6
altra hiking boots buy,2941,50,0.017295,11.26
asics gel nimbus,2674,81,0.030316,9.9
hoka swimming mens,2673,170,0.063811,4.71
adidas trail shoes sale,1927,25,0.013167,14.16
hoka tennis shoes mens,1909,70,0.037185,6.57
new-balance tennis shoes 2024,1786,55,0.031085,9.27
vans yoga 2024,1450,4,0.00317,21.74
buy running shoes online,1207,74,0.062108,5.81
puma tennis shoes buy,1183,254,0.21478,1.77
new-balance casual shoes 2024,891,44,0.050003,4.74
on-running football boots buy,838,7,0.008413,12.35
adidas football boots mens,751,5,0.007095,12.04
on-running casual shoes 2024,673,4,0.007289,15.33
adidas ultraboost,546,2,0.005217,24.15
stability running shoes,218,7,0.034586,9.63
